Timestamp,Analog1_chA,Analog1_chB,other
1388,1751.000,1224.000,
1392,1781.000,1241.000,
1396,1808.000,1247.000,
1400,1830.000,1257.000,
1404,1872.000,1276.000,
1408,1909.000,1307.000,
1412,1959.000,1334.000,
1416,1996.000,1360.000,
1420,2037.000,1369.000,
1424,2096.000,1407.000,
1428,2152.000,1445.000,
1432,2201.000,1469.000,
1436,2251.000,1493.000,
1440,2308.000,1538.000,
1444,2549.000,1774.000,
1448,2521.000,1774.000,
1452,2486.000,1738.000,
1456,2446.000,1713.000,
1460,2424.000,1709.000,
1464,2385.000,1696.000,
1468,2349.000,1665.000,
1472,2306.000,1640.000,
1476,2288.000,1624.000,
1480,2251.000,1614.000,
1484,2228.000,1583.000,
1488,2184.000,1556.000,
1492,2168.000,1547.000,
1496,2140.000,1544.000,
1500,2107.000,1512.000,
1504,2074.000,1482.000,
1508,2065.000,1473.000,
1512,2031.000,1468.000,
1516,2014.000,1447.000,
1520,1994.000,1419.000,
1524,1969.000,1411.000,
1528,1958.000,1406.000,
1532,1942.000,1392.000,
1536,1920.000,1359.000,
1540,1900.000,1349.000,
1544,1883.000,1357.000,
1548,1875.000,1344.000,
1552,1849.000,1318.000,
1556,1833.000,1309.000,
1560,1825.000,1313.000,
1564,1820.000,1308.000,
1568,1796.000,1289.000,
1572,1782.000,1267.000,
1576,1785.000,1275.000,
1580,1789.000,1273.000,
1584,1770.000,1256.000,
1588,1755.000,1252.000,
1592,1760.000,1251.000,
1596,1768.000,1252.000,
1600,1751.000,1247.000,
1604,1750.000,1242.000,
1608,1764.000,1239.000,
1612,1765.000,1259.000,
1616,1767.000,1250.000,
1620,1760.000,1237.000,
1624,1769.000,1248.000,
1628,1782.000,1264.000,
1632,1794.000,1256.000,
1636,1788.000,1254.000,
1640,1800.000,1258.000,
1644,1813.000,1273.000,
1648,1814.000,1275.000,
1652,1811.000,1272.000,
1656,1810.000,1268.000,
1660,1820.000,1287.000,
1664,1827.000,1282.000,
1668,1820.000,1276.000,
1672,1819.000,1271.000,
1676,1825.000,1287.000,
1680,1831.000,1290.000,
1684,1725.000,1232.000,
1688,1713.000,1215.000,
1692,1704.000,1216.000,
1696,1702.000,1218.000,
1700,1689.000,1214.000,
1704,1684.000,1193.000,
1708,1667.000,1189.000,
1712,1679.000,1198.000,
1716,1673.000,1195.000,
1720,1664.000,1181.000,
1724,1657.000,1175.000,
1728,1661.000,1185.000,
1732,1649.000,1188.000,
1736,1656.000,1167.000,
1740,1644.000,1158.000,
1744,1649.000,1174.000,
1748,1651.000,1178.000,
1752,1650.000,1165.000,
1756,1643.000,1157.000,
1760,1643.000,1169.000,
1764,1659.000,1178.000,
1768,1652.000,1167.000,
1772,1652.000,1161.000,
1776,1656.000,1167.000,
1780,1665.000,1185.000,
