Timestamp,Analog1_chA,Analog1_chB
1616,3292.000,2207.000,
1620,3302.000,2198.000,
1624,3323.000,2214.000,
1628,3321.000,2239.000,
1632,3340.000,2229.000,
1636,3358.000,2226.000,
1640,3374.000,2242.000,
1644,3390.000,2264.000,
1648,3402.000,2267.000,
1652,3424.000,2255.000,
1656,3437.000,2278.000,
1660,3454.000,2295.000,
1664,3463.000,2298.000,
1668,3479.000,2294.000,
1672,3481.000,2295.000,
1676,3479.000,2323.000,
1680,3477.000,2319.000,
1684,3189.000,2170.000,
1688,3183.000,2149.000,
1692,3167.000,2154.000,
1696,3157.000,2166.000,
1700,3144.000,2145.000,
1704,3145.000,2128.000,
1708,3144.000,2127.000,
1712,3138.000,2143.000,
1716,3133.000,2133.000,
1720,3135.000,2124.000,
1724,3143.000,2118.000,
1728,3138.000,2137.000,
1732,3161.000,2138.000,
1736,3161.000,2130.000,
1740,3166.000,2123.000,
1744,3175.000,2141.000,
1748,3175.000,2148.000,
1752,3188.000,2141.000,
1756,3196.000,2137.000,
1760,3191.000,2159.000,
1764,3207.000,2167.000,
1768,3221.000,2158.000,
1772,3237.000,2153.000,
1776,3244.000,2176.000,
1780,3254.000,2189.000,
1784,3253.000,2180.000,
1788,3264.000,2176.000,
1792,3268.000,2185.000,
1796,3281.000,2209.000,
1800,3289.000,2203.000,
1804,3287.000,2192.000,
1808,3297.000,2199.000,
1812,3300.000,2224.000,
1816,3297.000,2213.000,
1820,3312.000,2208.000,
1824,3303.000,2210.000,
1828,3309.000,2228.000,
1832,3316.000,2227.000,
1836,3315.000,2214.000,
1840,3322.000,2212.000,
1844,3291.000,2204.000,
1848,3281.000,2226.000,
1852,3276.000,2206.000,
1856,3291.000,2195.000,
1860,3284.000,2202.000,
1864,3280.000,2219.000,
1868,3276.000,2211.000,
1872,3267.000,2190.000,
1876,3265.000,2200.000,
1880,3261.000,2199.000,
1884,3268.000,2199.000,
1888,3259.000,2187.000,
1892,3262.000,2187.000,
1896,3264.000,2201.000,
1900,3276.000,2201.000,
1904,3263.000,2183.000,
1908,3267.000,2186.000,
1912,3266.000,2205.000,
1916,3267.000,2201.000,
1920,3271.000,2189.000,
1924,3274.000,2185.000,
1928,3267.000,2209.000,
1932,3269.000,2212.000,
1936,3263.000,2193.000,
1940,3263.000,2185.000,
1944,3264.000,2200.000,
1948,3261.000,2205.000,
1952,3264.000,2191.000,
1956,3265.000,2187.000,
1960,3262.000,2200.000,
1964,3261.000,2212.000,
1968,3266.000,2193.000,
1972,3275.000,2180.000,
1976,3272.000,2185.000,
1980,3265.000,2208.000,
1984,3275.000,2200.000,
